#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert,Latitude,Longitude
Elettra-Carroponte2024-4054_pt.jpg,3.45,-1.11,5.623628,-1.360401,1.455994,139.562464,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4055_pt.jpg,3.45,-1.11,5.623628,-1.323429,1.425973,140.143004,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4056_pt.jpg,3.45,-1.11,5.623628,-1.397207,1.386574,140.787752,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4057_pt.jpg,3.45,-1.11,5.623628,-1.445973,1.388475,140.990082,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4058_pt.jpg,3.45,-1.11,5.623628,-1.4907726229192264,1.391212227019761,141.11356077122684,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4059_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4060_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4061_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4062_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4063_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4064_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4065_pt.jpg,3.45,-1.11,5.623628,-1.490772622919223,1.3912122270197644,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4066_pt.jpg,3.45,-1.11,5.623628,-1.4907726229192242,1.391212227019763,141.11356077122673,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4067_pt.jpg,3.45,-1.11,5.623628,-1.425942,1.377837,141.122257,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4068_pt.jpg,3.45,-1.11,5.623628,-1.439382,1.344169,141.596124,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4069_pt.jpg,3.45,-1.11,5.623628,-1.373767,1.4166,142.104362,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4070_pt.jpg,3.45,-1.11,5.623628,-1.439816,1.358609,142.597219,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4071_pt.jpg,3.45,-1.11,5.623628,-1.571528,1.220794,143.075301,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4072_pt.jpg,3.45,-1.11,5.623628,-1.640836,1.18877,143.564397,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4073_pt.jpg,3.45,-1.11,5.623628,-1.726883,1.052327,144.065798,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4074_pt.jpg,3.45,-1.11,5.623628,-1.681358,1.158266,144.546109,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4075_pt.jpg,3.45,-1.11,5.623628,-1.758102,1.039139,145.033647,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4076_pt.jpg,3.45,-1.11,5.623628,-1.729257,1.106131,145.520638,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4077_pt.jpg,3.45,-1.11,5.623628,-1.650974,1.157018,146.03496,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4078_pt.jpg,3.45,-1.11,5.623628,-1.640626,1.141515,146.534615,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4079_pt.jpg,3.45,-1.11,5.623628,-1.584527,1.188022,147.037802,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4080_pt.jpg,3.45,-1.11,5.623628,-1.532331,1.312333,147.496029,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4081_pt.jpg,3.45,-1.11,5.623628,-1.578352,1.200009,147.987684,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4082_pt.jpg,3.45,-1.11,5.623628,-1.555375,1.211274,148.472814,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4083_pt.jpg,3.45,-1.11,5.623628,-1.48293,1.353057,148.971865,1.0,0.3,45.64495512343859,13.850640981970612
