#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert
Elettra-Carroponte2024-6766_pt.jpg,86.55933514736181,-25.214524949544504,5.66078,30.380444155189814,-7.023497929209528,124.52016758483205,2.0,0.5
Elettra-Carroponte2024-6767_pt.jpg,86.47498441252623,-24.39004374944207,5.66078,30.51893870518289,-6.1951364645979865,124.52719890619335,2.0,0.5
Elettra-Carroponte2024-6768_pt.jpg,86.37458249720194,-23.56736291753406,5.66078,30.641519130033593,-5.365752117884407,124.5342302275547,2.0,0.5
Elettra-Carroponte2024-6769_pt.jpg,86.25816753448441,-22.746794911671586,5.66078,30.74812955781382,-4.53567327830067,124.54126154891605,2.0,0.5
Elettra-Carroponte2024-6770_pt.jpg,86.125783739296,-21.928651387244997,5.66078,30.83872139569022,-3.7052286100585,124.54829287027741,2.0,0.5
Elettra-Carroponte2024-6771_pt.jpg,85.97748139159283,-21.1132430788158,5.66078,30.913253352072722,-2.8747469222170583,124.55532419163876,2.0,0.5
Elettra-Carroponte2024-6772_pt.jpg,85.81331681726837,-20.300879682098227,5.66078,30.971691455435177,-2.044557038493169,124.56235551300006,2.0,0.5
Elettra-Carroponte2024-6773_pt.jpg,85.63335236676055,-19.49186973633547,5.66078,31.014009069799492,-1.2149876670657411,124.56938683436141,1.0,0.3
Elettra-Carroponte2024-6774_pt.jpg,85.43818414342095,-18.688603906755894,5.66078,31.040139907709772,-0.3885145038316842,124.57639992239882,2.0,0.5
Elettra-Carroponte2024-6775_pt.jpg,85.22743961732525,-17.889283337089118,5.66078,31.05020271391392,0.4366890580820031,124.58341301043617,2.0,0.5
Elettra-Carroponte2024-6776_pt.jpg,85.00119841561462,-17.09421004045526,5.66078,31.044192925559564,1.260297977089604,124.59042609847359,2.0,0.5
Elettra-Carroponte2024-6777_pt.jpg,84.75954602065224,-16.303684425196234,5.66078,31.022113267709337,2.0819878397234945,124.59743918651094,2.0,0.5
